symbol,earnings_date,sell_date,hold_days,gap_pct,volume_ratio,buy_price,sell_price,earnings_day_return,total_return,profitable
ROKU,2023-07-28,2023-08-08,7,9.955995882655687,5.99772914835236,74.97899627685547,86.54000091552734,19.51347051842623,15.41899093445257,True
ROKU,2023-09-06,2023-09-07,1,10.93992077567057,4.651821390309237,92.88999938964844,83.62000274658203,-7.212829144435141,-9.979542150906124,False
ROKU,2023-09-06,2023-09-08,2,10.93992077567057,4.651821390309237,92.88999938964844,83.47000122070312,-7.212829144435141,-10.141025116633887,False
ROKU,2023-09-06,2023-09-11,3,10.93992077567057,4.651821390309237,92.88999938964844,84.25,-7.212829144435141,-9.301323550887298,False
ROKU,2023-09-06,2023-09-13,5,10.93992077567057,4.651821390309237,92.88999938964844,78.44000244140625,-7.212829144435141,-15.55603083559981,False
ROKU,2023-09-06,2023-09-15,7,10.93992077567057,4.651821390309237,92.88999938964844,76.26000213623047,-7.212829144435141,-17.902893059197496,False
ROKU,2023-11-02,2023-11-03,1,18.693466842198116,5.338553454624387,70.86000061035156,84.75,10.146771633467782,19.602031145931605,True
ROKU,2023-11-02,2023-11-06,2,18.693466842198116,5.338553454624387,70.86000061035156,83.30000305175781,10.146771633467782,17.555747014189212,True
ROKU,2023-11-02,2023-11-07,3,18.693466842198116,5.338553454624387,70.86000061035156,83.43000030517578,10.146771633467782,17.739203480881617,True
ROKU,2023-11-02,2023-11-09,5,18.693466842198116,5.338553454624387,70.86000061035156,81.58000183105469,10.146771633467782,15.128423833427258,True
ROKU,2023-11-02,2023-11-13,7,18.693466842198116,5.338553454624387,70.86000061035156,83.97000122070312,10.146771633467782,18.501270812064305,True
PLUG,2023-10-11,2023-10-12,1,8.938552471534953,3.1925639599964653,7.800000190734863,7.409999847412109,-3.3333361862051505,-5.000004279307725,False
PLUG,2023-10-11,2023-10-13,2,8.938552471534953,3.1925639599964653,7.800000190734863,7.340000152587891,-3.3333361862051505,-5.897436242288535,False
PLUG,2023-10-11,2023-10-16,3,8.938552471534953,3.1925639599964653,7.800000190734863,7.510000228881836,-3.3333361862051505,-3.7179481379692825,False
PLUG,2023-10-11,2023-10-18,5,8.938552471534953,3.1925639599964653,7.800000190734863,7.0,-3.3333361862051505,-10.256412450927039,False
PLUG,2023-10-11,2023-10-20,7,8.938552471534953,3.1925639599964653,7.800000190734863,6.099999904632568,-3.3333361862051505,-21.79487492989577,False
PLUG,2024-01-23,2024-01-24,1,18.30985903668985,3.4956194229733306,3.359999895095825,3.4800000190734863,10.714290022444697,3.5714323727453214,True
PLUG,2024-01-23,2024-01-25,2,18.30985903668985,3.4956194229733306,3.359999895095825,3.400000095367432,10.714290022444697,1.1904821881092977,True
PLUG,2024-01-23,2024-01-26,3,18.30985903668985,3.4956194229733306,3.359999895095825,3.400000095367432,10.714290022444697,1.1904821881092977,True
PLUG,2024-01-23,2024-01-30,5,18.30985903668985,3.4956194229733306,3.359999895095825,3.7300000190734863,10.714290022444697,11.011908795524201,True
PLUG,2024-01-23,2024-02-01,7,18.30985903668985,3.4956194229733306,3.359999895095825,4.699999809265137,10.714290022444697,39.88095107160994,True
PLUG,2024-05-14,2024-05-15,1,69.20414148731444,4.827658796087482,4.889999866485596,3.4100000858306885,-29.652348647347516,-30.265845011537216,False
PLUG,2024-05-14,2024-05-16,2,69.20414148731444,4.827658796087482,4.889999866485596,3.430000066757202,-29.652348647347516,-29.85684743541075,False
PLUG,2024-05-14,2024-05-17,3,69.20414148731444,4.827658796087482,4.889999866485596,3.25,-29.652348647347516,-33.53783049618467,False
PLUG,2024-05-14,2024-05-21,5,69.20414148731444,4.827658796087482,4.889999866485596,3.0799999237060547,-29.652348647347516,-37.01431476889535,False
PLUG,2024-05-14,2024-05-23,7,69.20414148731444,4.827658796087482,4.889999866485596,3.0799999237060547,-29.652348647347516,-37.01431476889535,False
RIVN,2024-06-26,2024-06-27,1,36.538460465056566,6.277848655145872,16.329999923706055,14.470000267028809,-9.736681935189157,-11.390077558892747,False
RIVN,2024-06-26,2024-06-28,2,36.538460465056566,6.277848655145872,16.329999923706055,13.420000076293944,-9.736681935189157,-17.819962406660526,False
RIVN,2024-06-26,2024-07-01,3,36.538460465056566,6.277848655145872,16.329999923706055,13.920000076293944,-9.736681935189157,-14.758113035343895,False
RIVN,2024-06-26,2024-07-03,5,36.538460465056566,6.277848655145872,16.329999923706055,14.649999618530272,-9.736681935189157,-10.287815756428435,False
RIVN,2024-06-26,2024-07-08,7,36.538460465056566,6.277848655145872,16.329999923706055,15.489999771118164,-9.736681935189157,-5.143907878214212,False
RIVN,2024-11-13,2024-11-14,1,11.058601935075492,3.3773483504481443,11.75,10.3100004196167,2.38297645081865,-12.255315577730219,False
RIVN,2024-11-13,2024-11-15,2,11.058601935075492,3.3773483504481443,11.75,10.0600004196167,2.38297645081865,-14.382975152198304,False
