symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,realistic
TXN,2025-04-30,2025-05-02,157.24669716298547,161.5562240032167,2.4406151721994034,1,Trailing Stop,105,True
NKE,2025-05-01,2025-05-08,56.827940715229786,58.807637716452,3.1836683791564138,4,Trailing Stop,120,True
LCID,2025-05-01,2025-05-05,25.649999618530273,25.136999626159668,-2.3,1,Stop Loss,105,True
TSLA,2025-05-01,2025-05-05,284.8999938964844,279.2019940185547,-2.3,1,Stop Loss,100,True
QCOM,2025-05-02,2025-05-07,136.00133911897325,141.0362456468149,3.402100700227037,2,Trailing Stop,145,True
CHWY,2025-05-02,2025-05-06,36.439998626708984,38.071999359130864,4.178597129325059,1,Trailing Stop,105,True
RIVN,2025-05-06,2025-05-08,13.449999809265137,13.180999813079834,-2.3,1,Stop Loss,90,True
AMZN,2025-05-06,2025-05-08,185.55999755859375,192.57600097656248,3.480989173463052,1,Trailing Stop,85,True
PLTR,2025-05-07,2025-05-09,112.27999877929688,117.78400268554687,4.602034170011824,1,Trailing Stop,175,True
KLAC,2025-05-07,2025-05-12,698.9346327258701,746.2218858874519,6.465618835792961,2,Trailing Stop,110,True
SHOP,2025-05-07,2025-05-09,89.68499755859375,93.86500244140625,4.360762665552376,1,Trailing Stop,105,True
RIVN,2025-05-08,2025-05-12,13.710000038146973,14.725999641418456,7.110646246860293,1,Trailing Stop,145,True
CRWD,2025-05-08,2025-05-12,418.94500732421875,427.36500244140626,1.7098091563295161,1,Trailing Stop,120,True
UBER,2025-05-09,2025-05-13,84.61499786376953,90.65899810791016,6.842942027690524,1,Trailing Stop,95,True
NFLX,2025-05-13,2025-05-15,112.95999908447266,117.61599884033203,3.821812848438113,1,Trailing Stop,85,True
ENPH,2025-05-14,2025-05-16,47.33000183105469,50.970001220703125,7.390680855330373,1,Trailing Stop,125,True
INTC,2025-05-15,2025-05-19,21.530000686645508,21.099400672912598,-2.3,1,Stop Loss,90,True
ROKU,2025-05-16,2025-05-20,69.2300033569336,71.6540023803711,3.201370657083367,1,Trailing Stop,100,True
ORCL,2025-05-16,2025-05-23,157.27495804848607,154.12945888751634,-2.3,4,Stop Loss,85,True
PYPL,2025-05-16,2025-05-21,70.99587766611157,72.62730798625877,1.9979226030836614,2,Trailing Stop,85,True
BILL,2025-05-19,2025-05-21,46.43000030517578,45.501400299072266,-2.3,1,Stop Loss,110,True
AMAT,2025-05-19,2025-05-21,163.79058907444514,160.51477729295624,-2.3,1,Stop Loss,105,True
ENPH,2025-05-20,2025-05-22,48.349998474121094,47.38299850463867,-2.3,1,Stop Loss,125,True
S,2025-05-20,2025-05-27,19.719999313354492,20.171999740600583,1.992091495865285,3,Trailing Stop,95,True
DDOG,2025-05-20,2025-05-27,114.93000030517578,117.41800079345703,1.864796381862708,3,Trailing Stop,85,True
GOOGL,2025-05-21,2025-06-03,171.37672606938918,166.69814144769487,-3.0300000000000002,7,Stop Loss,110,True
