entry_date,entry_price,stop_loss,take_profit,sl_pct,tp_pct,pos_size,spy_regime,sector,score,exit_date,pnl_pct,reason,days,symbol
2023-09-25,166.9499969482422,163.61099700927733,173.62799682617188,2.0,4.0,0.45,BEAR,Technology,145,2023-09-26,-2.3000000000000105,SL,1,CYBR
2023-09-25,10.050000190734863,9.849000186920167,10.854000205993653,2.0,8.0,0.45,BEAR,Energy_Services,140,2023-09-27,7.700000000000011,TP,2,PUMP
2023-09-26,9.174140247953009,8.990657442993948,9.90807146778925,2.0,8.0,0.45,BEAR,Energy_Midstream,180,2023-09-27,-2.300000000000008,SL,1,GEL
2023-10-05,72.37513148744412,70.92762885769524,75.27013674694189,2.0,4.0,0.45,BEAR,Consumer_Retail,100,2023-10-06,3.7,TP,1,WSM
2023-10-06,117.73999786376953,115.12616991119384,122.77926977233886,2.22,4.28,0.45,BEAR,Energy_Oil,125,2023-10-09,3.9799999999999978,TP,1,GPOR
2023-10-06,120.79000091552734,118.3742008972168,125.62160095214844,2.0,4.0,0.45,BEAR,Healthcare_Pharma,115,2023-10-12,-2.3000000000000016,SL,4,SRPT
2023-10-09,34.040000915527344,33.359200897216795,35.8509289642334,2.0,5.32,0.45,BEAR,Semiconductors,125,2023-10-12,5.019999999999996,TP,3,FORM
2023-10-16,103.88918059379216,101.81139698191632,108.04474781754385,2.0,4.0,0.33,BULL,Materials_Metals,95,2023-10-17,-2.3000000000000007,SL,1,STLD
2023-10-17,80.0,78.4,85.99199999999999,2.0,7.49,0.33,BULL,Technology,145,2023-10-18,-2.2999999999999927,SL,1,TTD
2023-10-18,42.9900016784668,42.13020164489746,44.70960174560547,2.0,4.0,0.33,BULL,Consumer_Staples,110,2023-10-19,-2.2999999999999994,SL,1,SFM
2023-10-10,173.56542610708746,170.0941175849457,187.120885886051,2.0,7.81,0.45,BEAR,Consumer_Food,140,2023-10-24,2.5292162847624766,MaxHold,10,WING
2023-10-23,40.73555489508543,39.92084379718372,42.58902264281182,2.0,4.55,0.45,BEAR,Media,90,2023-10-25,-2.2999999999999967,SL,2,NYT
2023-10-24,164.47000122070312,161.18060119628905,174.14083729248046,2.0,5.88,0.45,BEAR,Technology,135,2023-10-25,-2.3000000000000096,SL,1,ZS
2023-10-25,14.729999542236328,14.435399551391601,15.908399505615236,2.0,8.0,0.45,BEAR,Consumer_Staples,140,2023-10-26,-2.3000000000000025,SL,1,UNFI
2023-10-27,5.376279358644467,5.2687537714715775,5.806381707336025,2.0,8.0,0.45,BEAR,Materials_Metals,115,2023-10-31,-2.300000000000007,SL,2,AG
2023-10-27,9.329999923706055,9.143399925231934,10.07639991760254,2.0,8.0,0.45,BEAR,Technology,150,2023-11-01,7.700000000000011,TP,3,SNAP
2023-10-27,9.841580477487009,9.644748867937269,10.584619803537278,2.0,7.55,0.45,BEAR,Finance_Banks,110,2023-11-02,7.249999999999998,TP,4,FHN
2023-11-01,17.68000030517578,17.326400299072265,19.094400329589845,2.0,8.0,0.45,BEAR,Consumer_Retail,130,2023-11-02,7.700000000000011,TP,1,VSCO
2023-11-08,20.25,19.845,21.491325,2.0,6.13,0.33,BULL,Telecom,145,2023-11-09,-2.300000000000006,SL,1,GSAT
2023-11-09,127.0,124.46,132.1435,2.0,4.05,0.33,BULL,Energy_Oil,90,2023-11-10,-2.300000000000005,SL,1,GPOR
2023-11-03,1387.5875983679268,1347.0700404955833,1443.091102302644,2.92,4.0,0.33,BULL,Finance_Banks,110,2023-11-14,3.7000000000000073,TP,7,FCNCA
2023-11-10,18.40999984741211,18.041799850463867,19.88279983520508,2.0,8.0,0.33,BULL,Consumer_Retail,145,2023-11-14,7.700000000000013,TP,2,VSCO
2023-11-13,20.254040310759063,19.84895950454388,21.87436353561979,2.0,8.0,0.33,BULL,Finance_Banks,145,2023-11-14,7.700000000000007,TP,1,CADE
2023-11-15,100.31999969482422,98.31359970092774,104.33279968261719,2.0,4.0,0.33,BULL,Healthcare_Pharma,100,2023-11-16,-2.2999999999999954,SL,1,BNTX
2023-11-20,125.0,122.5,130.2875,2.0,4.23,0.33,BULL,Technology,140,2023-11-21,3.929999999999996,TP,1,PANW
2023-11-22,17.93000030517578,17.539126298522948,19.242476327514648,2.18,7.32,0.33,BULL,Healthcare_Pharma,120,2023-11-24,-2.4800000000000058,SL,1,TARS
2023-11-27,11.279999732971191,11.054399738311767,12.182399711608888,2.0,8.0,0.33,BULL,Finance_Payments,140,2023-11-28,-2.3000000000000016,SL,1,PSFE
2023-11-15,27.454377822662472,26.90529026620922,28.750224455892138,2.0,4.72,0.33,BULL,Media,90,2023-11-29,-2.300000000000008,SL,9,FOX
2023-11-20,15.020000457763672,14.719600448608398,15.910686484909057,2.0,5.93,0.33,BULL,Consumer_Staples,120,2023-11-29,-2.3000000000000016,SL,6,UNFI
2023-11-29,29.68000030517578,28.537320293426514,30.867200317382814,3.85,4.0,0.33,BULL,Technology,140,2023-11-30,-4.149999999999997,SL,1,RNG
