symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,pos_size,spy_regime
MRVL,2024-08-30,2024-09-04,74.23252322203918,72.74787275759839,-2.3,1,Stop Loss,105,0.33,BULL
MRVL,2024-09-05,2024-09-09,69.17619136689022,67.79266753955241,-2.3,1,Stop Loss,135,0.33,BULL
TXN,2024-09-05,2024-09-10,192.62979020304584,188.77719439898493,-2.3,2,Stop Loss,125,0.33,BULL
ADI,2024-09-05,2024-09-10,214.11737146488892,209.83502403559115,-2.3,2,Stop Loss,125,0.33,BULL
ROKU,2024-09-10,2024-09-12,68.11000061035156,73.83799743652345,8.109920385907808,1,Trailing Stop,150,0.45,BEAR
AXP,2024-09-12,2024-09-16,252.27811948526613,257.49245293141684,1.766898808659955,1,Trailing Stop,90,0.45,BEAR
FSLR,2024-09-17,2024-09-19,240.0,249.19200439453124,3.5300018310546832,1,Trailing Stop,110,0.33,BULL
ARM,2024-09-19,2024-09-23,140.0,142.8800048828125,1.7571463448660716,1,Trailing Stop,120,0.33,BULL
ARM,2024-09-24,2024-09-26,143.3000030517578,150.5720001220703,4.774666375049524,1,Trailing Stop,95,0.33,BULL
LRCX,2024-09-24,2024-09-26,77.94463323285038,83.80796250241343,7.22242845514078,1,Trailing Stop,95,0.33,BULL
PLTR,2024-09-26,2024-09-30,36.90999984741211,36.17179985046387,-2.3,1,Stop Loss,100,0.33,BULL
AVGO,2024-10-01,2024-10-03,165.60580488777856,171.44919546554522,3.228493811993114,1,Trailing Stop,105,0.33,BULL
SHOP,2024-09-27,2024-10-04,79.06999969482422,81.9259994506836,3.3119890816773774,4,Trailing Stop,85,0.33,BULL
INTC,2024-10-04,2024-10-08,22.399999618530273,23.215999984741213,3.342858839764925,1,Trailing Stop,130,0.33,BULL
TSLA,2024-10-09,2024-10-11,241.80999755859375,236.97379760742186,-2.3,1,Stop Loss,160,0.33,BULL
NVDA,2024-10-17,2024-10-21,138.62252759913224,142.6531554221702,2.6076282858538624,1,Trailing Stop,105,0.33,BULL
ARM,2024-10-22,2024-10-24,147.8000030517578,144.84400299072266,-2.3,1,Stop Loss,125,0.33,BULL
TSM,2024-10-24,2024-10-28,196.96221062753943,193.02296641498864,-2.3,1,Stop Loss,95,0.33,BULL
SMCI,2024-10-25,2024-10-29,47.79999923706055,46.843999252319335,-2.3,1,Stop Loss,110,0.33,BULL
MU,2024-10-25,2024-10-30,106.29309775902901,104.16723580384843,-2.3,2,Stop Loss,135,0.33,BULL
CRWD,2024-10-29,2024-10-31,311.5,305.27,-2.3,1,Stop Loss,95,0.33,BULL
TSM,2024-10-30,2024-11-01,189.69353748349332,193.8717920182858,1.9026340961436572,1,Trailing Stop,130,0.33,BULL
RIVN,2024-10-31,2024-11-04,10.210000038146973,10.481199836730958,2.3562174100951934,1,Trailing Stop,90,0.33,BULL
TSLA,2024-11-06,2024-11-08,288.8900146484375,320.74599609375,10.727027529518255,1,Trailing Stop,140,0.45,BEAR
CRWD,2024-11-06,2024-11-08,322.5,331.01999511718753,2.341858951065902,1,Trailing Stop,100,0.45,BEAR
